ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_3,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
5849,0.0,360.0,1.0,1,4.852030263919617,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
4583,1508.0,360.0,1.0,0,4.852030263919617,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
3000,0.0,360.0,1.0,1,4.189654742026425,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2583,2358.0,360.0,1.0,1,4.787491742782046,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
6000,0.0,360.0,1.0,1,4.948759890378168,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
5417,4196.0,360.0,1.0,1,5.58724865840025,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
2333,1516.0,360.0,1.0,1,4.553876891600541,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3036,2504.0,360.0,0.0,0,5.062595033026967,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4006,1526.0,360.0,1.0,1,5.123963979403259,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
12841,10968.0,360.0,1.0,0,5.855071922202427,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3200,700.0,360.0,1.0,1,4.248495242049359,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2500,1840.0,360.0,1.0,1,4.6913478822291435,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
3073,8106.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
1853,2840.0,360.0,1.0,0,4.736198448394496,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
1299,1086.0,120.0,1.0,1,2.833213344056216,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
4950,0.0,360.0,1.0,1,4.8283137373023015,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3596,0.0,240.0,1.0,1,4.605170185988092,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
3510,0.0,360.0,0.0,0,4.330733340286331,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
4887,0.0,360.0,1.0,0,4.890349128221754,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
2600,3500.0,360.0,1.0,1,4.74493212836325,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
7660,0.0,360.0,0.0,0,4.6443908991413725,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
5955,5625.0,360.0,1.0,1,5.752572638825633,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2600,1911.0,360.0,0.0,0,4.7535901911063645,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
3365,1917.0,360.0,0.0,0,4.718498871295094,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
3717,2925.0,360.0,1.0,0,5.017279836814924,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
9560,0.0,360.0,1.0,1,5.25227342804663,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
2799,2253.0,360.0,1.0,1,4.804021044733257,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4226,1040.0,360.0,1.0,1,4.700480365792417,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
1442,0.0,360.0,1.0,0,3.5553480614894135,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
3750,2083.0,360.0,1.0,1,4.787491742782046,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
4166,3369.0,360.0,1.0,0,5.303304908059076,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3167,0.0,360.0,1.0,0,4.30406509320417,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
4692,0.0,360.0,1.0,0,4.663439094112067,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
3500,1667.0,360.0,1.0,1,4.736198448394496,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
12500,3000.0,360.0,1.0,0,5.768320995793772,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2275,2067.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
1828,1330.0,360.0,0.0,0,4.605170185988092,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3667,1459.0,360.0,1.0,1,4.969813299576001,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
4166,7210.0,360.0,1.0,1,5.214935757608986,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3748,1668.0,360.0,1.0,1,4.700480365792417,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
